CR626927.1:626-637-736-747	626	637	736	747	1747
CR626927.1:2119-2132-2382-2395	1000	1013	1263	1276	2276
CR626927.1:4721-4734-5026-5039	1000	1013	1305	1318	2318
CR626927.1:6280-6291-6782-6793	1000	1011	1502	1513	2513
CR626927.1:6504-6516-6609-6621	1000	1012	1105	1117	2117
CR626927.1:8902-8914-9355-9367	1000	1012	1453	1465	2465
CR626927.1:14391-14404-14938-14951	1000	1013	1547	1560	2560
CR626927.1:15127-15142-15728-15743	1000	1015	1601	1616	2616
CR626927.1:22042-22056-22616-22630	1000	1014	1574	1588	2588
CR626927.1:23428-23439-23914-23925	1000	1011	1486	1497	2497
CR626927.1:24943-24965-25073-25095	1000	1022	1130	1152	2152
CR626927.1:32322-32333-32957-32968	1000	1011	1635	1646	2646
CR626927.1:33962-33973-34644-34655	1000	1011	1682	1693	2693
CR626927.1:35710-35721-36154-36165	1000	1011	1444	1455	2455
CR626927.1:38236-38250-38288-38302	1000	1014	1052	1066	2066
CR626927.1:41109-41122-41595-41608	1000	1013	1486	1499	2499
CR626927.1:42292-42304-42542-42554	1000	1012	1250	1262	2262
CR626927.1:45965-45976-46655-46666	1000	1011	1690	1701	2701
CR626927.1:51114-51125-51226-51237	1000	1011	1112	1123	2123
CR626927.1:53146-53159-53596-53609	1000	1013	1450	1463	2463
CR626927.1:62128-62139-62455-62466	1000	1011	1327	1338	2338
CR626927.1:62711-62725-62973-62987	1000	1014	1262	1276	2276
CR626927.1:70917-70928-71609-71620	1000	1011	1692	1703	2703
CR626927.1:88680-88693-89166-89179	1000	1013	1486	1499	2499
CR626927.1:93487-93500-93837-93850	1000	1013	1350	1363	2363
CR626927.1:103758-103772-104422-104436	1000	1014	1664	1678	2678
CR626927.1:104565-104577-104774-104786	1000	1012	1209	1221	2221
CR626927.1:105703-105714-106178-106189	1000	1011	1475	1486	2486
CR626927.1:106251-106263-106670-106682	1000	1012	1419	1431	2431
CR626927.1:107297-107310-107795-107808	1000	1013	1498	1511	2511
CR626927.1:111768-111779-112093-112104	1000	1011	1325	1336	2336
CR626927.1:113256-113267-113383-113394	1000	1011	1127	1138	2138
CR626927.1:116009-116020-116363-116374	1000	1011	1354	1365	2365
CR626927.1:123871-123883-124143-124155	1000	1012	1272	1284	2284
CR626927.1:126419-126432-126746-126759	1000	1013	1327	1340	2340
CR626927.1:132343-132354-132445-132456	1000	1011	1102	1113	2113
CR626927.1:137572-137583-138242-138253	1000	1011	1670	1681	2681
CR626927.1:138323-138336-138815-138828	1000	1013	1492	1505	2505
CR626927.1:142771-142785-143462-143476	1000	1014	1691	1705	2705
CR626927.1:148089-148101-148472-148484	1000	1012	1383	1395	2395
CR626927.1:155260-155274-155554-155568	1000	1014	1294	1308	2308
CR626927.1:159688-159701-160418-160431	1000	1013	1730	1743	2743
CR626927.1:165545-165556-166157-166168	1000	1011	1612	1623	2623
CR626927.1:166919-166930-167123-167134	1000	1011	1204	1215	2215
CR626927.1:170891-170906-171152-171167	1000	1015	1261	1276	2276
CR626927.1:173243-173256-173633-173646	1000	1013	1390	1403	2403
CR626927.1:174596-174608-174646-174658	1000	1012	1050	1062	2062
CR626927.1:179080-179093-179341-179354	1000	1013	1261	1274	2274
CR626927.1:179401-179414-180059-180072	1000	1013	1658	1671	2671
CR626927.1:184146-184159-184880-184893	1000	1013	1734	1747	2747
CR626927.1:185265-185279-185443-185457	1000	1014	1178	1192	2192
CR626927.1:186985-186998-187714-187727	1000	1013	1729	1742	2742
CR626927.1:188123-188137-188333-188347	1000	1014	1210	1224	2224
CR626927.1:189964-189979-190627-190642	1000	1015	1663	1678	2678
CR626927.1:193942-193953-194009-194020	1000	1011	1067	1078	2078
CR626927.1:194100-194111-194501-194512	1000	1011	1401	1412	2412
CR626927.1:198354-198368-198960-198974	1000	1014	1606	1620	2620
CR626927.1:200281-200292-200693-200704	1000	1011	1412	1423	2423
CR626927.1:202262-202275-202831-202844	1000	1013	1569	1582	2582
CR626927.1:204059-204072-204378-204391	1000	1013	1319	1332	2332
CR626927.1:205160-205173-205767-205780	1000	1013	1607	1620	2620
CR626927.1:206749-206762-207031-207044	1000	1013	1282	1295	2295
CR626927.1:211208-211219-211615-211626	1000	1011	1407	1418	2418
CR626927.1:212166-212179-212749-212762	1000	1013	1583	1596	2596
CR626927.1:219895-219906-220444-220455	1000	1011	1549	1560	2560
CR626927.1:220974-220987-221297-221310	1000	1013	1323	1336	2336
CR626927.1:225720-225733-226195-226208	1000	1013	1475	1488	2488
CR626927.1:231232-231245-231885-231898	1000	1013	1653	1666	2666
CR626927.1:234661-234673-235157-235169	1000	1012	1496	1508	2508
CR626927.1:237286-237297-237913-237924	1000	1011	1627	1638	2638
CR626927.1:238895-238908-239339-239352	1000	1013	1444	1457	2457
CR626927.1:243906-243917-244462-244473	1000	1011	1556	1567	2567
CR626927.1:247969-247982-248221-248234	1000	1013	1252	1265	2265
CR626927.1:248860-248874-249246-249260	1000	1014	1386	1400	2400
CR626927.1:249604-249619-250176-250191	1000	1015	1572	1587	2587
CR626927.1:251802-251816-252328-252342	1000	1014	1526	1540	2540
CR626927.1:256910-256924-257297-257311	1000	1014	1387	1401	2401
CR626927.1:258971-258985-259486-259500	1000	1014	1515	1529	2529
CR626927.1:263346-263357-263608-263619	1000	1011	1262	1273	2273
CR626927.1:265662-265673-266075-266086	1000	1011	1413	1424	2424
CR626927.1:270510-270522-270903-270915	1000	1012	1393	1405	2405
CR626927.1:271096-271109-271709-271722	1000	1013	1613	1626	2626
CR626927.1:272958-272973-273608-273623	1000	1015	1650	1665	2665
CR626927.1:283812-283825-284507-284520	1000	1013	1695	1708	2708
CR626927.1:287643-287656-288093-288106	1000	1013	1450	1463	2463
CR626927.1:288865-288878-289252-289265	1000	1013	1387	1400	2400
CR626927.1:289734-289748-289925-289939	1000	1014	1191	1205	2205
CR626927.1:292380-292393-292916-292929	1000	1013	1536	1549	2549
